排名,片名,年份,時長,分級
1,刺激1995,1994,2h 22m,12+
2,教父,1972,2h 55m,18+
3,黑暗騎士,2008,2h 32m,6+
4,教父Ⅱ,1974,3h 22m,18+
5,十二怒漢,1957,1h 36m,U
6,魔戒三部曲：王者再臨,2003,3h 21m,6+
7,辛德勒的名單,1993,3h 15m,R-15
8,黑色追緝令,1994,2h 34m,18+
9,魔戒首部曲：魔戒現身,2001,2h 58m,6+
10,黃昏三鏢客,1966,2h 41m,R
11,阿甘正傳,1994,2h 22m,6+
12,魔戒二部曲：雙城奇謀,2002,2h 59m,6+
13,鬥陣俱樂部,1999,2h 19m,18+
14,全面啟動,2010,2h 28m,6+
15,星際大戰五部曲：帝國大反擊,1980,2h 4m,0+
16,駭客任務,1999,2h 16m,12+
17,四海好傢伙,1990,2h 25m,R-15
18,星際效應,2014,2h 49m,6+
19,飛越杜鵑窩,1975,2h 13m,6+
20,火線追緝令,1995,2h 7m,12+
21,風雲人物,1946,2h 10m,0+
22,沉默的羔羊,1991,1h 58m,18+
23,七武士,1954,3h 27m,Not Rated
24,搶救雷恩大兵,1998,2h 49m,12+
25,綠色奇蹟,1999,3h 9m,0+
