name,current_price
【Apple】A+級福利品 iPhone 15 128G 6.1吋(原廠展示機+90%電池),"19,111"
【Apple】A+級福利品 iPhone 15 Plus 128G 6.7吋(原廠展示機+100%電池),"23,111"
【Apple】A+級福利品 iPhone 15 128G 6.1吋(贈充電線+玻璃貼+透明殼),"18,596"
【Apple】A+級福利品 iPhone 15 Pro 128G 6.1吋(原廠展示機+100%電池),"25,810"
【Apple】A+級福利品 iPhone 15 128G 6.1吋(原廠展示機+80%電池),"18,310"
【Apple】A+級福利品 iPhone 15 256G 6.1吋(贈充電線+玻璃貼+透明殼),"26,427"
【Apple】A+級福利品 iPhone 15 128G 6.1吋(含原廠配件傳輸線),"18,844"
【Apple】A+級福利品 iPhone 15 Pro Max 512G 6.7吋(贈送手機保護套+鋼化保護貼+原廠充電器),"32,998"
【Apple】A+ 級福利品 iPhone 15 128G 6.1吋(贈充電組),"18,888"
【Apple】A+級福利品 iPhone 15 Plus 256G 6.7吋(贈送手機保護套+鋼化保護貼+原廠充電器),"24,998"
【Apple】A+級福利品 iPhone 15 Pro 128GB 6.1吋(贈已貼妥滿版玻璃貼+空壓殼),"25,490"
【Apple】A級福利品 iPhone 15 128G 6.1吋(保固六個月),"18,100"
【Apple】A+級福利品 iPhone 15 Pro Max 256G 6.7吋(100%電池+送殼貼+德誼保修),"32,611"
【Apple】A級福利品 iPhone 15 Pro 128G 6.1吋 智慧型手機(贈超值配件禮),"23,779"
【Apple】iPhone 16(256G/6.1吋)(15W磁吸旋轉無線充電座組),"30,499"
【Apple】A級福利品 iPhone 15 256G 6.1吋(保固六個月),"25,202"
【Apple】A+級福利品 iPhone 15 Plus 128G 6.7吋(贈送手機保護套+鋼化保護貼+原廠充電器),"21,998"
【Apple】A級福利品 iPhone 15 Pro 256G,"26,600"
【Apple】A+級福利品 iPhone 15 128GB 6.1吋(贈已貼妥滿版玻璃貼+空壓殼),"19,590"
【Apple】A+級福利品 iPhone 15 Pro 256G 6.1吋(電池100%),"31,202"
【Apple】A級福利品 iPhone 15 Pro 256G,"27,600"
【Apple】A+級福利品 iPhone 15 Pro 128G 6.1吋(贈充電線+玻璃貼+透明殼),"25,010"
【Apple】A+級福利品 iPhone 15 Plus 512G 6.7吋(贈送手機保護套+鋼化保護貼+原廠充電器),"26,998"
【Apple】A+級福利品 iPhone 15(128G/6.1吋)磁吸手機支架組,"19,188"
【Apple】A+級福利品 iPhone 15 128G 6.1吋(電池100%),"21,024"
【Apple】A級福利品 iPhone 15 512G 6.1吋(贈原廠20W充電頭+Magsafe保護殼),"30,390"
【Apple】A級福利品 iPhone 15 Pro 256G 6.1吋(保固六個月),"28,076"
【Apple】A+級福利品 iPhone 15 Pro 256G 6.1吋(贈充電線+玻璃貼+透明殼),"28,774"
【Apple】A+級福利品 iPhone 15 Pro 1TB 6.1吋(贈送手機保護套+鋼化保護貼+原廠充電器),"32,998"
【Apple】A+級福利品 iPhone 15 Pro 512G 6.1吋(贈送手機保護套+鋼化保護貼+原廠充電器),"30,998"
